day,max_temp,min_temp,year
0.0,35.12104283054005,27.13221601489758,1971
0.9605263157894736,31.00558659217877,8.975791433891999,1971
1.9210526315789476,13.091247672253274,8.491620111731848,1971
2.881578947368421,32.942271880819376,7.76536312849163,1971
3.842105263157895,36.08938547486034,3.891992551210436,1971
4.802631578947368,3.891992551210436,-10.148975791433882,1971
5.7631578947368425,1.9553072625698464,-15.232774674115449,1971
6.723684210526316,7.0391061452514085,-16.20111731843575,1971
7.684210526315789,17.932960893854755,-23.2216014897579,1971
8.644736842105264,28.100558659217878,14.059590316573562,1971
9.605263157894736,27.374301675977662,10.9124767225326,1971
10.56578947368421,21.08007448789573,7.76536312849163,1971
11.526315789473687,15.027932960893864,7.0391061452514085,1971
12.48684210526316,29.310986964618248,14.059590316573562,1971
13.447368421052632,29.795158286778406,0.018621973929242586,1971
14.407894736842106,11.880819366852892,-5.065176908752321,1971
15.36842105263158,10.9124767225326,7.76536312849163,1971
16.32894736842105,9.21787709497208,-5.065176908752321,1971
17.289473684210527,8.975791433891999,-22.253258845437603,1971
18.25,12.849162011173194,-26.126629422718796,1971
19.210526315789476,14.059590316573562,-16.20111731843575,1971
20.17105263157895,28.100558659217878,-18.13780260707634,1971
21.13157894736842,32.942271880819376,22.048417132216017,1971
22.092105263157894,36.08938547486034,10.9124767225326,1971
23.052631578947373,31.973929236499075,7.76536312849163,1971
24.01315789473684,37.05772811918064,7.0391061452514085,1971
24.97368421052632,37.05772811918064,8.73370577281193,1971
25.934210526315788,25.43761638733706,-6.033519553072607,1971
26.894736842105264,0.018621973929242586,-14.022346368715073,1971
27.855263157894736,7.76536312849163,-13.054003724394775,1971
28.815789473684212,31.00558659217877,4.8603351955307375,1971
29.77631578947368,5.828677839851039,-9.180633147113582,1971
30.73684210526316,-4.096834264432019,-13.054003724394775,1971
31.697368421052627,-1.1918063314711276,-15.232774674115449,1971
32.6578947368421,14.059590316573562,-22.253258845437603,1971
33.618421052631575,23.98510242085662,14.059590316573562,1971
34.57894736842105,31.00558659217877,27.13221601489758,1971
35.53947368421053,35.12104283054005,23.98510242085662,1971
36.5,37.05772811918064,10.9124767225326,1971
37.46052631578947,16.964618249534453,0.018621973929242586,1971
38.42105263157895,8.975791433891999,-15.232774674115449,1971
39.381578947368425,3.891992551210436,-19.10614525139664,1971
40.3421052631579,8.007448789571697,-15.232774674115449,1971
41.30263157894737,31.489757914338927,8.007448789571697,1971
42.26315789473684,34.15270018621975,15.996275605214164,1971
43.22368421052632,27.13221601489758,-2.1601489757914294,1971
44.18421052631579,14.059590316573562,-7.001862197392911,1971
45.14473684210525,23.98510242085662,-6.033519553072607,1971
46.10526315789475,35.12104283054005,21.08007448789573,1971
47.06578947368421,35.12104283054005,22.048417132216017,1971
48.026315789473685,44.0782122905028,30.037243947858485,1971
48.98684210526316,39.962756052141536,29.310986964618248,1971
49.94736842105264,39.962756052141536,32.942271880819376,1971
50.907894736842096,35.12104283054005,24.953445065176922,1971
51.868421052631575,31.247672253258852,21.08007448789573,1971
52.82894736842106,32.458100558659225,27.13221601489758,1971
53.78947368421053,34.15270018621975,23.016759776536322,1971
54.75,37.05772811918064,15.996275605214164,1971
55.71052631578947,41.173184357541906,15.270018621973932,1971
56.67105263157895,46.98324022346371,33.6685288640596,1971
57.631578947368425,37.05772811918064,25.92178770949721,1971
58.592105263157904,35.12104283054005,21.08007448789573,1971
59.55263157894736,30.037243947858485,15.027932960893864,1971
60.51315789473684,20.595903165735574,16.238361266294234,1971
61.47368421052632,25.92178770949721,10.9124767225326,1971
62.43421052631579,27.13221601489758,7.0391061452514085,1971
63.39473684210525,37.05772811918064,4.8603351955307375,1971
64.35526315789474,37.05772811918064,29.068901303538183,1971
65.3157894736842,36.08938547486034,25.92178770949721,1971
66.27631578947367,27.13221601489758,15.754189944134085,1971
67.23684210526315,27.13221601489758,8.007448789571697,1971
68.19736842105263,32.942271880819376,2.923649906890134,1971
69.15789473684211,34.15270018621975,23.98510242085662,1971
70.11842105263158,21.3221601489758,18.17504655493484,1971
71.07894736842105,38.268156424581015,18.901303538175053,1971
72.03947368421052,36.08938547486034,31.973929236499075,1971
73.0,43.109869646182496,31.973929236499075,1971
73.96052631578948,56.18249534450652,39.478584729981385,1971
74.92105263157895,40.689013035381755,22.048417132216017,1971
75.88157894736842,31.973929236499075,21.56424581005588,1971
76.84210526315789,41.657355679702064,15.996275605214164,1971
77.80263157894737,34.15270018621975,29.068901303538183,1971
78.76315789473685,32.942271880819376,27.13221601489758,1971
79.72368421052632,37.05772811918064,18.901303538175053,1971
80.6842105263158,38.99441340782123,23.016759776536322,1971
81.64473684210526,31.973929236499075,15.027932960893864,1971
82.60526315789474,47.46741154562385,43.59404096834265,1971
83.5657894736842,27.13221601489758,10.9124767225326,1971
84.52631578947368,30.037243947858485,8.975791433891999,1971
85.48684210526315,31.973929236499075,3.891992551210436,1971
86.44736842105263,38.02607076350094,8.007448789571697,1971
87.40789473684212,42.1415270018622,32.942271880819376,1971
88.36842105263158,44.0782122905028,31.00558659217877,1971
89.32894736842104,38.99441340782123,25.679702048417138,1971
90.2894736842105,50.130353817504655,25.92178770949721,1971
91.25,70.22346368715084,35.12104283054005,1971
92.2105263157895,55.214152700186226,28.100558659217878,1971
93.17105263157896,30.763500931098704,19.86964618249536,1971
94.13157894736842,51.58286778398511,48.43575418994414,1971
95.09210526315788,31.00558659217877,17.932960893854755,1971
96.05263157894736,38.99441340782123,15.996275605214164,1971
97.01315789473685,48.193668528864066,17.932960893854755,1971
