name,birth,death,birth.cty,birth.prv,rise,reign.start,reign.end,cause,killer,dynasty,era
Probus,0232-08-19,0282-10-01,Sirmium,Pannonia,Appointment by Army,0276-09-15,0282-10-01,Assassination,Own Army,Gordian,Principate
Carus,0230-01-01,0283-08-01,Narbo,Gallia Narbonensis,Seized Power,0282-10-01,0283-08-01,Natural Causes,Lightning,Gordian,Principate
Numerian,,0284-11-20,,Unknown,Birthright,0283-08-01,0284-11-20,Unknown,Unknown,Gordian,Principate
Carinus,,0285-08-01,,Unknown,Birthright,0283-08-01,0285-08-01,Died in Battle,Opposing Army,Gordian,Principate
Diocletian,0244-12-22,0311-12-03,Salona,Dalmatian,Seized Power,0284-11-20,0305-05-01,Natural Causes,Disease,Constantinian,Dominate
Maximian,0250-01-01,0310-07-15,Sirmium,Pannonia,Appointment by Emperor,0286-04-01,0305-05-01,Suicide,Other Emperor,Constantinian,Dominate
Constantius I,0250-03-31,0306-07-25,,Moesia,Appointment by Emperor,0305-05-01,0306-07-25,Natural Causes,Unknown,Constantinian,Dominate
Galerius,0260-01-01,0311-05-01,Romuliana,Moesia Superior,Appointment by Emperor,0305-05-01,0311-05-01,Natural Causes,Disease,Constantinian,Dominate
Severus II,,0307-09-16,,Unknown,Appointment by Emperor,0305-05-01,0307-09-16,Assassination,Other Emperor,Constantinian,Dominate
Constantine the Great,0272-02-27,0337-05-22,Naissus,Moesia Superior,Birthright,0306-07-25,0337-05-22,Natural Causes,Disease,Constantinian,Dominate
Maxentius,0278-01-01,0312-10-08,,Unknown,Birthright,0306-10-08,0312-10-08,Execution,Other Emperor,Constantinian,Dominate
Maximinus II,0270-11-20,0313-08-01,,Dacia Aureliana,Birthright,0311-05-01,0313-08-01,Execution,Other Emperor,Constantinian,Dominate
Lucinius I,0250-01-01,0325-03-01,Felix Romuliana,Moesia Superior,Birthright,0308-11-11,0324-09-18,Execution,Other Emperor,Constantinian,Dominate
Constantine II,0316-02-01,0340-01-01,Arelate,Gallia Narbonensis,Birthright,0337-05-22,0340-01-01,Execution,Other Emperor,Constantinian,Dominate
Consantius II,0317-08-07,0361-11-03,Sirmium,Pannonia,Birthright,0337-05-22,0361-11-03,Natural Causes,Disease,Constantinian,Dominate
Constans,0320-01-01,0350-02-14,,Moesia,Birthright,0337-05-22,0350-02-14,Assassination,Usurper,Constantinian,Dominate
Vetranio,,0356-01-01,,Moesia,Seized Power,0350-03-01,0350-12-25,Unknown,Unknown,Constantinian,Dominate
Julian,0331-07-01,0363-06-26,Constantinople,Thrace,Birthright,0360-02-14,0363-06-26,Died in Battle,Opposing Army,Constantinian,Dominate
Jovian,0331-01-01,0364-02-17,Singidunum,Moesia,Appointment by Army,0363-06-26,0364-02-17,Natural Causes,Fire,Constantinian,Dominate
Valentinian I,0321-07-03,0375-11-17,Cibalae,Pannonia,Election,0364-02-26,0375-11-17,Natural Causes,Aneurism,Valentinian,Dominate
Valens,0328-01-01,0378-08-09,Cibalae,Pannonia,Birthright,0364-03-28,0378-08-09,Died in Battle,Opposing Army,Valentinian,Dominate
Gratian,0359-04-18,0383-08-25,Sirmium,Pannonia,Birthright,0367-08-04,0383-08-25,Assassination,Own Army,Valentinian,Dominate
Valentinian II,0371-01-01,0392-05-15,Milan,Italia,Birthright,0375-11-17,0392-05-15,Suicide,Unknown,Valentinian,Dominate
Theodosius I,0347-01-11,0395-01-17,Cauca,Hispania,Birthright,0379-01-01,0395-01-17,Natural Causes,Disease,Theodosian,Dominate
